scenario,run-number,value,final,min,max,mean,ticks
A,22,sum [industrial-infected] of turtles,0,0,0,0,34
A,22,sum [institutional-infected] of turtles,0,0,0,0,34
A,22,sum [commercial-infected] of turtles,0,0,0,0,34
A,22,sum [landscaped-green-area-infected] of turtles,0,0,0,0,34
A,23,R0-SEI,3.125,0,3.875,2.35859427,1500
A,23,attack-rate,68.75,0,100,65.25233178,1500
A,23,sum [overall-infection] of turtles,430,0,430,212.146569,1500
A,23,sum [forest-infected] of turtles,169,0,169,86.21385743,1500
A,23,sum [HDR-infected] of turtles,54,0,54,23.77548301,1500
A,23,sum [MDR-infected] of turtles,83,0,83,37.757495,1500
A,23,sum [natural-infected] of turtles,0,0,0,0,1500
A,23,sum [road-infected] of turtles,12,0,12,4.139240506,1500
A,23,sum [forest-edge-infected] of turtles,38,0,38,18.65956029,1500
A,23,sum [industrial-infected] of turtles,7,0,7,4.596935376,1500
A,23,sum [institutional-infected] of turtles,2,0,2,1.754830113,1500
A,23,sum [commercial-infected] of turtles,38,0,38,19.24117255,1500
A,23,sum [landscaped-green-area-infected] of turtles,27,0,27,16.00799467,1500
A,24,R0-SEI,3.3125,0,4.3125,2.424008994,1500
A,24,attack-rate,81.25,0,100,67.87974684,1500
A,24,sum [overall-infection] of turtles,434,0,434,212.6175883,1500
A,24,sum [forest-infected] of turtles,155,0,155,72.99800133,1500
A,24,sum [HDR-infected] of turtles,63,0,63,31.69020653,1500
A,24,sum [MDR-infected] of turtles,98,0,98,52.55696203,1500
A,24,sum [natural-infected] of turtles,0,0,0,0,1500
A,24,sum [road-infected] of turtles,15,0,15,6.437708195,1500
A,24,sum [forest-edge-infected] of turtles,29,0,29,10.98734177,1500
A,24,sum [industrial-infected] of turtles,3,0,3,0.838774151,1500
A,24,sum [institutional-infected] of turtles,6,0,6,2.083944037,1500
A,24,sum [commercial-infected] of turtles,30,0,30,14.6922052,1500
A,24,sum [landscaped-green-area-infected] of turtles,35,0,35,20.33244504,1500
A,25,R0-SEI,0.3125,0,0.3125,0.199519231,25
A,25,attack-rate,0,0,6.25,5.769230769,25
A,25,sum [overall-infection] of turtles,5,0,5,3.192307692,25
A,25,sum [forest-infected] of turtles,3,0,3,2.307692308,25
A,25,sum [HDR-infected] of turtles,0,0,0,0,25
A,25,sum [MDR-infected] of turtles,1,0,1,0.538461538,25
A,25,sum [natural-infected] of turtles,0,0,0,0,25
A,25,sum [road-infected] of turtles,0,0,0,0,25
A,25,sum [forest-edge-infected] of turtles,1,0,1,0.346153846,25
A,25,sum [industrial-infected] of turtles,0,0,0,0,25
A,25,sum [institutional-infected] of turtles,0,0,0,0,25
A,25,sum [commercial-infected] of turtles,0,0,0,0,25
A,25,sum [landscaped-green-area-infected] of turtles,0,0,0,0,25
A,26,R0-SEI,2.5,0,3.875,2.522568288,1500
A,26,attack-rate,81.25,0,100,66.24750167,1500
A,26,sum [overall-infection] of turtles,432,0,432,222.2758161,1500
A,26,sum [forest-infected] of turtles,169,0,169,84.83877415,1500
A,26,sum [HDR-infected] of turtles,50,0,50,21.11925383,1500
A,26,sum [MDR-infected] of turtles,106,0,106,55.63157895,1500
A,26,sum [natural-infected] of turtles,0,0,0,0,1500
A,26,sum [road-infected] of turtles,6,0,6,4.053964024,1500
A,26,sum [forest-edge-infected] of turtles,30,0,30,13.90739507,1500
A,26,sum [industrial-infected] of turtles,3,0,3,2.782145237,1500
A,26,sum [institutional-infected] of turtles,7,0,7,4.860093271,1500
A,26,sum [commercial-infected] of turtles,27,0,27,16.22318454,1500
A,26,sum [landscaped-green-area-infected] of turtles,34,0,34,18.85942705,1500
A,27,R0-SEI,0,0,0,0,6
A,27,attack-rate,0,0,6.25,4.464285714,6
A,27,sum [overall-infection] of turtles,0,0,0,0,6
A,27,sum [forest-infected] of turtles,0,0,0,0,6
A,27,sum [HDR-infected] of turtles,0,0,0,0,6
A,27,sum [MDR-infected] of turtles,0,0,0,0,6
A,27,sum [natural-infected] of turtles,0,0,0,0,6
A,27,sum [road-infected] of turtles,0,0,0,0,6
A,27,sum [forest-edge-infected] of turtles,0,0,0,0,6
A,27,sum [industrial-infected] of turtles,0,0,0,0,6
A,27,sum [institutional-infected] of turtles,0,0,0,0,6
A,27,sum [commercial-infected] of turtles,0,0,0,0,6
A,27,sum [landscaped-green-area-infected] of turtles,0,0,0,0,6
A,28,R0-SEI,0.25,0,0.25,0.0875,29
A,28,attack-rate,0,0,6.25,5.833333333,29
A,28,sum [overall-infection] of turtles,4,0,4,1.4,29
A,28,sum [forest-infected] of turtles,1,0,1,0.2,29
A,28,sum [HDR-infected] of turtles,2,0,2,1.033333333,29
A,28,sum [MDR-infected] of turtles,0,0,0,0,29
A,28,sum [natural-infected] of turtles,0,0,0,0,29
A,28,sum [road-infected] of turtles,0,0,0,0,29
A,28,sum [forest-edge-infected] of turtles,0,0,0,0,29
A,28,sum [industrial-infected] of turtles,0,0,0,0,29
A,28,sum [institutional-infected] of turtles,0,0,0,0,29
A,28,sum [commercial-infected] of turtles,0,0,0,0,29
A,28,sum [landscaped-green-area-infected] of turtles,1,0,1,0.166666667,29
A,29,R0-SEI,2.25,0,3.3125,2.17151066,1500
A,29,attack-rate,68.75,0,100,70.55296469,1500
A,29,sum [overall-infection] of turtles,408,0,408,208.57495,1500
A,29,sum [forest-infected] of turtles,146,0,146,73.14990007,1500
A,29,sum [HDR-infected] of turtles,56,0,56,25.86475683,1500
A,29,sum [MDR-infected] of turtles,94,0,94,47.17188541,1500
A,29,sum [natural-infected] of turtles,0,0,0,0,1500
A,29,sum [road-infected] of turtles,10,0,10,5.836775483,1500
A,29,sum [forest-edge-infected] of turtles,31,0,31,18.63557628,1500
A,29,sum [industrial-infected] of turtles,2,0,2,1.705529647,1500
A,29,sum [institutional-infected] of turtles,5,0,5,2.155229847,1500
A,29,sum [commercial-infected] of turtles,31,0,31,15.8401066,1500
A,29,sum [landscaped-green-area-infected] of turtles,33,0,33,18.21518987,1500
A,30,R0-SEI,2.5,0,4.1875,2.543096269,1500
A,30,attack-rate,62.5,0,93.75,67.7173551,1500
A,30,sum [overall-infection] of turtles,432,0,432,206.7228514,1500
A,30,sum [forest-infected] of turtles,148,0,148,74.80279813,1500
A,30,sum [HDR-infected] of turtles,50,0,50,22.54630247,1500
A,30,sum [MDR-infected] of turtles,96,0,96,46.50832778,1500
A,30,sum [natural-infected] of turtles,0,0,0,0,1500
A,30,sum [road-infected] of turtles,4,0,4,2.299133911,1500
A,30,sum [forest-edge-infected] of turtles,43,0,43,19.66888741,1500
A,30,sum [industrial-infected] of turtles,3,0,3,1.007328448,1500
A,30,sum [institutional-infected] of turtles,14,0,14,6.981345769,1500
A,30,sum [commercial-infected] of turtles,35,0,35,14.36575616,1500
A,30,sum [landscaped-green-area-infected] of turtles,39,0,39,18.54297135,1500
A,31,R0-SEI,2.0625,0,3.4375,2.147901399,1500
A,31,attack-rate,75,0,100,68.66255829,1500
A,31,sum [overall-infection] of turtles,419,0,419,207.4183877,1500
A,31,sum [forest-infected] of turtles,176,0,176,89.15323118,1500
A,31,sum [HDR-infected] of turtles,46,0,46,21.12391739,1500
A,31,sum [MDR-infected] of turtles,93,0,93,45.82411726,1500
A,31,sum [natural-infected] of turtles,0,0,0,0,1500
A,31,sum [road-infected] of turtles,6,0,6,2.848101266,1500
A,31,sum [forest-edge-infected] of turtles,32,0,32,16.9467022,1500
A,31,sum [industrial-infected] of turtles,3,0,3,0.703530979,1500
A,31,sum [institutional-infected] of turtles,7,0,7,3.908727515,1500
A,31,sum [commercial-infected] of turtles,30,0,30,12.37508328,1500
A,31,sum [landscaped-green-area-infected] of turtles,26,0,26,14.53497668,1500
A,32,R0-SEI,2.25,0,4.5,2.676382412,1500
A,32,attack-rate,75,0,93.75,65.98517655,1500
A,32,sum [overall-infection] of turtles,450,0,450,216.6908728,1500
A,32,sum [forest-infected] of turtles,164,0,164,85.4437042,1500
A,32,sum [HDR-infected] of turtles,57,0,57,22.87075283,1500
A,32,sum [MDR-infected] of turtles,103,0,103,49.1479014,1500
A,32,sum [natural-infected] of turtles,0,0,0,0,1500
A,32,sum [road-infected] of turtles,15,0,15,6.662891406,1500
A,32,sum [forest-edge-infected] of turtles,23,0,23,10.03464357,1500
A,32,sum [industrial-infected] of turtles,5,0,5,2.56362425,1500
A,32,sum [institutional-infected] of turtles,7,0,7,4.834110593,1500
A,32,sum [commercial-infected] of turtles,37,0,37,17.74683544,1500
A,32,sum [landscaped-green-area-infected] of turtles,39,0,39,17.38640906,1500
A,33,R0-SEI,0.0625,0,0.0625,0.019021739,22
A,33,attack-rate,0,0,6.25,5.706521739,22
A,33,sum [overall-infection] of turtles,1,0,1,0.304347826,22
A,33,sum [forest-infected] of turtles,0,0,0,0,22
A,33,sum [HDR-infected] of turtles,0,0,0,0,22
A,33,sum [MDR-infected] of turtles,1,0,1,0.304347826,22
A,33,sum [natural-infected] of turtles,0,0,0,0,22
A,33,sum [road-infected] of turtles,0,0,0,0,22
A,33,sum [forest-edge-infected] of turtles,0,0,0,0,22
A,33,sum [industrial-infected] of turtles,0,0,0,0,22
A,33,sum [institutional-infected] of turtles,0,0,0,0,22
A,33,sum [commercial-infected] of turtles,0,0,0,0,22
A,33,sum [landscaped-green-area-infected] of turtles,0,0,0,0,22
A,34,R0-SEI,2.4375,0,3.875,2.479721852,1500
A,34,attack-rate,93.75,0,100,76.22001999,1500
A,34,sum [overall-infection] of turtles,376,0,376,189.8600933,1500
A,34,sum [forest-infected] of turtles,146,0,146,77.89540306,1500
