scenario,run-number,value,final,min,max,mean,ticks
A,26,sum [forest-infected] of turtles,200,0,200,94.77415057,1500
A,26,sum [HDR-infected] of turtles,8,0,8,3.974017322,1500
A,26,sum [MDR-infected] of turtles,38,0,38,20.03331113,1500
A,26,sum [open-area-infected] of turtles,148,0,148,69.98667555,1500
A,26,sum [road-infected] of turtles,2,0,2,1.016655563,1500
A,26,sum [forest-edge-infected] of turtles,210,0,210,97.83544304,1500
A,27,R0-SEI,1.625,0,3.875,2.347768155,1500
A,27,attack-rate,56.25,0,93.75,67.43421053,1500
A,27,sum [overall-infection] of turtles,462,0,462,234.0946036,1500
A,27,sum [forest-infected] of turtles,215,0,215,105.3424384,1500
A,27,sum [HDR-infected] of turtles,0,0,0,0,1500
A,27,sum [MDR-infected] of turtles,31,0,31,17.99133911,1500
A,27,sum [open-area-infected] of turtles,160,0,160,83.19853431,1500
A,27,sum [road-infected] of turtles,1,0,1,0.221185876,1500
A,27,sum [forest-edge-infected] of turtles,55,0,55,27.34110593,1500
A,28,R0-SEI,3.625,0,4.125,2.571618921,1500
A,28,attack-rate,87.5,0,100,64.55696203,1500
A,28,sum [overall-infection] of turtles,484,0,484,234.9720187,1500
A,28,sum [forest-infected] of turtles,232,0,232,113.1938708,1500
A,28,sum [HDR-infected] of turtles,5,0,5,2.712191872,1500
A,28,sum [MDR-infected] of turtles,41,0,41,22.88807462,1500
A,28,sum [open-area-infected] of turtles,157,0,157,71.89073951,1500
A,28,sum [road-infected] of turtles,4,0,4,1.138574284,1500
A,28,sum [forest-edge-infected] of turtles,45,0,45,23.14856762,1500
A,29,R0-SEI,0.0625,0,0.0625,0.017857143,6
A,29,attack-rate,0,0,6.25,4.464285714,6
A,29,sum [overall-infection] of turtles,1,0,1,0.285714286,6
A,29,sum [forest-infected] of turtles,1,0,1,0.285714286,6
A,29,sum [HDR-infected] of turtles,0,0,0,0,6
A,29,sum [MDR-infected] of turtles,0,0,0,0,6
A,29,sum [open-area-infected] of turtles,0,0,0,0,6
A,29,sum [road-infected] of turtles,0,0,0,0,6
A,29,sum [forest-edge-infected] of turtles,0,0,0,0,6
A,30,R0-SEI,0,0,0,0,14
A,30,attack-rate,0,0,6.25,5.416666667,14
A,30,sum [overall-infection] of turtles,0,0,0,0,14
A,30,sum [forest-infected] of turtles,0,0,0,0,14
A,30,sum [HDR-infected] of turtles,0,0,0,0,14
