scenario,run-number,value,final,min,max,mean,ticks
A,37,sum [forest-edge-infected] of turtles,21,0,21,7.766822119,1500
A,38,R0-SEI,1.6875,0,3.5625,2.165098268,1500
A,38,attack-rate,56.25,0,93.75,63.19953364,1500
A,38,sum [overall-infection] of turtles,364,0,364,179.6402398,1500
A,38,sum [forest-infected] of turtles,215,0,215,109.1072618,1500
A,38,sum [HDR-infected] of turtles,11,0,11,5.435709527,1500
A,38,sum [MDR-infected] of turtles,46,0,46,19.73484344,1500
A,38,sum [open-area-infected] of turtles,68,0,68,32.84943371,1500
A,38,sum [road-infected] of turtles,0,0,0,0,1500
A,38,sum [forest-edge-infected] of turtles,24,0,24,12.51299134,1500
A,39,R0-SEI,0,0,0,0,3
A,39,attack-rate,0,0,6.25,3.125,3
A,39,sum [overall-infection] of turtles,0,0,0,0,3
A,39,sum [forest-infected] of turtles,0,0,0,0,3
A,39,sum [HDR-infected] of turtles,0,0,0,0,3
A,39,sum [MDR-infected] of turtles,0,0,0,0,3
A,39,sum [open-area-infected] of turtles,0,0,0,0,3
A,39,sum [road-infected] of turtles,0,0,0,0,3
A,39,sum [forest-edge-infected] of turtles,0,0,0,0,3
A,40,R0-SEI,1.5625,0,3.0625,1.960817788,1500
A,40,attack-rate,56.25,0,93.75,66.15589607,1500
A,40,sum [overall-infection] of turtles,318,0,318,156.8041306,1500
A,40,sum [forest-infected] of turtles,180,0,180,88.77881412,1500
A,40,sum [HDR-infected] of turtles,14,0,14,5.834776815,1500
A,40,sum [MDR-infected] of turtles,42,0,42,21.61025983,1500
A,40,sum [open-area-infected] of turtles,63,0,63,31.09260493,1500
A,40,sum [road-infected] of turtles,0,0,0,0,1500
A,40,sum [forest-edge-infected] of turtles,19,0,19,9.487674883,1500
A,41,R0-SEI,1.625,0,3.375,1.955862758,1500
A,41,attack-rate,56.25,0,93.75,58.74000666,1500
A,41,sum [overall-infection] of turtles,338,0,338,168.2678215,1500
A,41,sum [forest-infected] of turtles,195,0,195,96.22984677,1500
A,41,sum [HDR-infected] of turtles,20,0,20,12.05862758,1500
A,41,sum [MDR-infected] of turtles,37,0,37,16.59093937,1500
A,41,sum [open-area-infected] of turtles,68,0,68,35.5976016,1500
A,41,sum [road-infected] of turtles,1,0,1,0.896069287,1500
A,41,sum [forest-edge-infected] of turtles,17,0,17,6.894736842,1500
A,42,R0-SEI,3.5625,0,3.6875,2.054963358,1500
A,42,attack-rate,81.25,0,93.75,61.82961359,1500
A,42,sum [overall-infection] of turtles,353,0,353,177.42505,1500
A,42,sum [forest-infected] of turtles,191,0,191,89.83211193,1500
A,42,sum [HDR-infected] of turtles,8,0,8,4.044636909,1500
A,42,sum [MDR-infected] of turtles,58,0,58,34.14656895,1500
A,42,sum [open-area-infected] of turtles,73,0,73,39.30379747,1500
A,42,sum [road-infected] of turtles,0,0,0,0,1500
A,42,sum [forest-edge-infected] of turtles,23,0,23,10.09793471,1500
A,43,R0-SEI,0,0,0,0,22
A,43,attack-rate,0,0,6.25,5.706521739,22
A,43,sum [overall-infection] of turtles,0,0,0,0,22
A,43,sum [forest-infected] of turtles,0,0,0,0,22
A,43,sum [HDR-infected] of turtles,0,0,0,0,22
A,43,sum [MDR-infected] of turtles,0,0,0,0,22
A,43,sum [open-area-infected] of turtles,0,0,0,0,22
A,43,sum [road-infected] of turtles,0,0,0,0,22
A,43,sum [forest-edge-infected] of turtles,0,0,0,0,22
A,44,R0-SEI,0.5,0,3.25,1.820411392,1500
A,44,attack-rate,18.75,0,100,65.05246502,1500
A,44,sum [overall-infection] of turtles,301,0,301,161.2811459,1500
A,44,sum [forest-infected] of turtles,182,0,182,93.43171219,1500
A,44,sum [HDR-infected] of turtles,14,0,14,9.91272485,1500
A,44,sum [MDR-infected] of turtles,27,0,27,13.73217855,1500
A,44,sum [open-area-infected] of turtles,64,0,64,37.19720187,1500
A,44,sum [road-infected] of turtles,0,0,0,0,1500
A,44,sum [forest-edge-infected] of turtles,14,0,14,7.007328448,1500
A,45,R0-SEI,2.375,0,3.1875,1.99467022,1500
A,45,attack-rate,75,0,100,66.33910726,1500
A,45,sum [overall-infection] of turtles,347,0,347,166.4363757,1500
A,45,sum [forest-infected] of turtles,198,0,198,91.72018654,1500
A,45,sum [HDR-infected] of turtles,15,0,15,6.779480346,1500
A,45,sum [MDR-infected] of turtles,43,0,43,22.36908728,1500
A,45,sum [open-area-infected] of turtles,79,0,79,39.27714857,1500
A,45,sum [road-infected] of turtles,0,0,0,0,1500
A,45,sum [forest-edge-infected] of turtles,12,0,12,6.290473018,1500
A,46,R0-SEI,1.875,0,2.875,1.653481013,1500
A,46,attack-rate,68.75,0,100,61.81712192,1500
